datereceived,product,issue,subissue,companypublicresponse,company,state,zipcode,tags,consumerconsentprovided,submittedvia,datesenttocompany,companyresponsetoconsumer,timelyresponse,consumerdisputed,year,states,population,product_type,month,_merge,num_company_timely,num_company_timely_permcap
2017-03-08,Debt collection,Cont'd attempts collect debt not owed,Debt is not mine,Company believes it acted appropriately as authorized by contract or law,"Choice Recovery, Inc.",OH,45255,,Consent not provided,Web,2017-03-08,Closed,No,No,2017,Ohio,11658609,debt and mortgage,03,Matched (3),69,5.9183731
2017-01-11,Consumer Loan,Managing the loan or lease,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"SANTANDER BANK, NATIONAL ASSOCIATION",FL,337XX,Older American,Consent not provided,Web,2017-01-11,Closed,Yes,No,2017,Florida,20984400,debt and mortgage,01,Matched (3),1273,60.664112
2017-10-03,Debt collection,Written notification about debt,Didn't receive enough information to verify debt,,"PlusFour, Inc",NV,89032,,N/A,Phone,2017-10-03,Closed with explanation,No,N/A,2017,Nevada,2998039,debt and mortgage,10,Matched (3),4898,1633.7346
2017-03-31,Debt collection,Disclosure verification of debt,Not given enough info to verify debt,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"Alliance Collection Agencies, Inc.",WI,53172,,N/A,Postal mail,2017-04-03,Closed with explanation,Yes,No,2017,Wisconsin,5795483,debt and mortgage,03,Matched (3),194373,33538.707
2017-07-25,Checking or savings account,Managing an account,Problem using a debit or ATM card,Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,MD,209XX,Servicemember,Consent provided,Web,2017-07-25,Closed with monetary relief,No,N/A,2017,Maryland,6052177,account and service,07,Matched (3),238,39.324692
2017-04-17,Bank account or service,Problems caused by my funds being low,,,"CITIZENS FINANCIAL GROUP, INC.",RI,,Servicemember,Consent provided,Web,2017-04-17,Closed with monetary relief,Yes,No,2017,Rhode Island,1059639,account and service,04,Matched (3),11260,10626.261
2017-10-07,"Credit reporting, credit repair services, or other personal consumer reports",Improper use of your report,Credit inquiries on your report that you don't recognize,Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,SD,572XX,,Consent provided,Web,2017-10-07,Closed with non-monetary relief,No,N/A,2017,South Dakota,869666,credit processing,10,Matched (3),377,433.49976
2017-08-01,Debt collection,Took or threatened to take negative or legal action,Threatened to sue you for very old debt,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,907XX,,Consent provided,Web,2017-08-01,Closed with non-monetary relief,Yes,N/A,2017,California,39536653,debt and mortgage,08,Matched (3),25186,637.02911
2017-06-22,Debt collection,False statements or representation,Attempted to collect wrong amount,,"Student Loan Processing Direct, INC",FL,325XX,"Older American, Servicemember",Consent provided,Web,2017-07-07,Untimely response,No,N/A,2017,Florida,20984400,debt and mortgage,06,Matched (3),1303,62.093746
2018-01-03,"Credit reporting, credit repair services, or other personal consumer reports",Incorrect information on your report,Old information reappears or never goes away,,"EQUIFAX, INC.",CA,945XX,,Consent provided,Web,2018-01-03,,Yes,N/A,2018,California,39557045,credit processing,01,Matched (3),1,.025279947
