year,month,timelyresponse_rate,state,states
2017,01,.96409076,US,Country
2017,02,.96509558,US,Country
2017,03,.96832442,US,Country
2017,04,.97695905,US,Country
2017,05,.95539832,US,Country
2017,06,.97948468,US,Country
2017,07,.98186982,US,Country
2017,08,.97931528,US,Country
2017,09,.9880926,US,Country
2017,10,.96840727,US,Country
2017,11,.94071704,US,Country
2017,12,.97852147,US,Country
2018,01,.98074162,US,Country
2018,02,.98096925,US,Country
2018,03,.98269337,US,Country
2018,04,.98610353,US,Country
2018,05,.98414302,US,Country
2018,06,.98061937,US,Country
2018,07,.97916257,US,Country
2018,08,.9807784,US,Country
2018,09,.98090756,US,Country
2018,10,.98466271,US,Country
2018,11,.98364222,US,Country
2018,12,.98480886,US,Country
2019,01,.98526531,US,Country
2019,02,.97925544,US,Country
2019,03,.98479038,US,Country
2019,04,.98567104,US,Country
2019,05,.98398435,US,Country
2019,06,.98560166,US,Country
2019,07,.98652643,US,Country
2019,08,.98699403,US,Country
2019,09,.98560804,US,Country
2019,10,.98444003,US,Country
2019,11,.98423666,US,Country
2019,12,.98427391,US,Country
